ID,STATE,DESTINATION,COUNTY/LOCATION DEFINED,SEASON BEGIN,SEASON END,Lodging Rate,M&IE,Effective Date
,,Standard CONUS rate applies to all counties not specifically listed. Cities not listed may be located in a listed county.,,,,$ 96,$ 55,"October 1, 2019"
,AL,Birmingham,Jefferson,,,$ 110,$ 56,"October 1, 2019"
2,AL,Gulf Shores,Baldwin,October 1,February 29,$ 112,$ 61,"October 1, 2019"
2,AL,Gulf Shores,Baldwin,March 1,May 31,$ 130,$ 61,"October 1, 2019"
2,AL,Gulf Shores,Baldwin,June 1,July 31,$ 169,$ 61,"October 1, 2019"
2,AL,Gulf Shores,Baldwin,August 1,September 30,$ 112,$ 61,"October 1, 2019"
460,AL,Mobile,Mobile,October 1,December 31,$ 96,$ 61,"October 1, 2019"
460,AL,Mobile,Mobile,January 1,February 29,$ 104,$ 61,"October 1, 2019"
460,AL,Mobile,Mobile,March 1,September 30,$ 96,$ 61,"October 1, 2019"
6,AR,Hot Springs,Garland,,,$ 104,$ 61,"October 1, 2019"
9,AZ,Grand Canyon / Flagstaff,Coconino / Yavapai less the city of Sedona,October 1,October 31,$ 141,$ 66,"October 1, 2019"
9,AZ,Grand Canyon / Flagstaff,Coconino / Yavapai less the city of Sedona,November 1,February 29,$ 96,$ 66,"October 1, 2019"
9,AZ,Grand Canyon / Flagstaff,Coconino / Yavapai less the city of Sedona,March 1,April 30,$ 115,$ 66,"October 1, 2019"
9,AZ,Grand Canyon / Flagstaff,Coconino / Yavapai less the city of Sedona,May 1,September 30,$ 141,$ 66,"October 1, 2019"
8,AZ,Kayenta,Navajo,October 1,October 31,$ 130,$ 66,"October 1, 2019"
8,AZ,Kayenta,Navajo,November 1,December 31,$ 108,$ 66,"October 1, 2019"
8,AZ,Kayenta,Navajo,January 1,September 30,$ 130,$ 66,"October 1, 2019"
10,AZ,Phoenix / Scottsdale,Maricopa,October 1,May 31,$ 146,$ 56,"October 1, 2019"
10,AZ,Phoenix / Scottsdale,Maricopa,June 1,August 31,$ 96,$ 56,"October 1, 2019"
10,AZ,Phoenix / Scottsdale,Maricopa,September 1,September 30,$ 146,$ 56,"October 1, 2019"
11,AZ,Sedona,City Limits of Sedona,October 1,February 29,$ 175,$ 76,"October 1, 2019"
11,AZ,Sedona,City Limits of Sedona,March 1,August 31,$ 183,$ 76,"October 1, 2019"
11,AZ,Sedona,City Limits of Sedona,September 1,September 30,$ 175,$ 76,"October 1, 2019"
12,AZ,Tucson,Pima,October 1,December 31,$ 96,$ 61,"October 1, 2019"
12,AZ,Tucson,Pima,January 1,March 31,$ 125,$ 61,"October 1, 2019"
12,AZ,Tucson,Pima,April 1,September 30,$ 96,$ 61,"October 1, 2019"
14,CA,Antioch / Brentwood / Concord,Contra Costa,,,$ 165,$ 66,"October 1, 2019"
481,CA,Bakersfield / Ridgecrest,Kern,,,$ 111,$ 61,"October 1, 2019"
16,CA,Barstow / Ontario / Victorville,San Bernardino,,,$ 107,$ 61,"October 1, 2019"
20,CA,Death Valley,Inyo ,,,$ 121,$ 66,"October 1, 2019"
461,CA,Eureka / Arcata / McKinleyville,Humboldt,October 1,May 31,$ 100,$ 71,"October 1, 2019"
461,CA,Eureka / Arcata / McKinleyville,Humboldt,June 1,August 31,$ 130,$ 71,"October 1, 2019"
461,CA,Eureka / Arcata / McKinleyville,Humboldt,September 1,September 30,$ 100,$ 71,"October 1, 2019"
21,CA,Fresno,Fresno,,,$ 110,$ 66,"October 1, 2019"
22,CA,Los Angeles,Los Angeles / Orange / Ventura / Edwards AFB less the city of Santa Monica,,,$ 181,$ 66,"October 1, 2019"
23,CA,Mammoth Lakes,Mono,,,$ 135,$ 76,"October 1, 2019"
24,CA,Mill Valley / San Rafael / Novato,Marin,October 1,October 31,$ 191,$ 76,"October 1, 2019"
24,CA,Mill Valley / San Rafael / Novato,Marin,November 1,May 31,$ 160,$ 76,"October 1, 2019"
24,CA,Mill Valley / San Rafael / Novato,Marin,June 1,September 30,$ 191,$ 76,"October 1, 2019"
26,CA,Monterey,Monterey,October 1,June 30,$ 161,$ 76,"October 1, 2019"
26,CA,Monterey,Monterey,July 1,August 31,$ 223,$ 76,"October 1, 2019"
26,CA,Monterey,Monterey,September 1,September 30,$ 161,$ 76,"October 1, 2019"
27,CA,Napa,Napa,October 1,November 30,$ 209,$ 66,"October 1, 2019"
27,CA,Napa,Napa,December 1,March 31,$ 160,$ 66,"October 1, 2019"
27,CA,Napa,Napa,April 1,September 30,$ 209,$ 66,"October 1, 2019"
28,CA,Oakhurst,Madera ,October 1,April 30,$ 102,$ 71,"October 1, 2019"
28,CA,Oakhurst,Madera ,May 1,September 30,$ 133,$ 71,"October 1, 2019"
29,CA,Oakland,Alameda,October 1,December 31,$ 186,$ 66,"October 1, 2019"
29,CA,Oakland,Alameda,January 1,March 31,$ 195,$ 66,"October 1, 2019"
29,CA,Oakland,Alameda,April 1,September 30,$ 186,$ 66,"October 1, 2019"
30,CA,Palm Springs,Riverside,October 1,April 30,$ 140,$ 66,"October 1, 2019"
30,CA,Palm Springs,Riverside,May 1,September 30,$ 107,$ 66,"October 1, 2019"
31,CA,Point Arena / Gualala,Mendocino,,,$ 125,$ 76,"October 1, 2019"
33,CA,Sacramento,Sacramento,,,$ 140,$ 66,"October 1, 2019"
34,CA,San Diego,San Diego,,,$ 173,$ 71,"October 1, 2019"
35,CA,San Francisco,San Francisco,October 1,October 31,$ 334,$ 76,"October 1, 2019"
35,CA,San Francisco,San Francisco,November 1,December 31,$ 244,$ 76,"October 1, 2019"
35,CA,San Francisco,San Francisco,January 1,August 31,$ 302,$ 76,"October 1, 2019"
35,CA,San Francisco,San Francisco,September 1,September 30,$ 334,$ 76,"October 1, 2019"
36,CA,San Luis Obispo,San Luis Obispo,October 1,October 31,$ 118,$ 71,"October 1, 2019"
36,CA,San Luis Obispo,San Luis Obispo,November 1,August 31,$ 124,$ 71,"October 1, 2019"
36,CA,San Luis Obispo,San Luis Obispo,September 1,September 30,$ 118,$ 71,"October 1, 2019"
37,CA,San Mateo / Foster City / Belmont,San Mateo,October 1,October 31,$ 231,$ 66,"October 1, 2019"
37,CA,San Mateo / Foster City / Belmont,San Mateo,November 1,December 31,$ 193,$ 66,"October 1, 2019"
37,CA,San Mateo / Foster City / Belmont,San Mateo,January 1,September 30,$ 231,$ 66,"October 1, 2019"
38,CA,Santa Barbara,Santa Barbara,October 1,June 30,$ 171,$ 76,"October 1, 2019"
38,CA,Santa Barbara,Santa Barbara,July 1,August 31,$ 224,$ 76,"October 1, 2019"
38,CA,Santa Barbara,Santa Barbara,September 1,September 30,$ 171,$ 76,"October 1, 2019"
39,CA,Santa Cruz,Santa Cruz,October 1,May 31,$ 130,$ 61,"October 1, 2019"
39,CA,Santa Cruz,Santa Cruz,June 1,August 31,$ 168,$ 61,"October 1, 2019"
39,CA,Santa Cruz,Santa Cruz,September 1,September 30,$ 130,$ 61,"October 1, 2019"
40,CA,Santa Monica ,City limits of Santa Monica,October 1,June 30,$ 248,$ 76,"October 1, 2019"
40,CA,Santa Monica ,City limits of Santa Monica,July 1,August 31,$ 301,$ 76,"October 1, 2019"
40,CA,Santa Monica ,City limits of Santa Monica,September 1,September 30,$ 248,$ 76,"October 1, 2019"
41,CA,Santa Rosa,Sonoma,,,$ 158,$ 71,"October 1, 2019"
42,CA,South Lake Tahoe,El Dorado,October 1,December 31,$ 135,$ 66,"October 1, 2019"
42,CA,South Lake Tahoe,El Dorado,January 1,June 30,$ 119,$ 66,"October 1, 2019"
42,CA,South Lake Tahoe,El Dorado,July 1,September 30,$ 135,$ 66,"October 1, 2019"
43,CA,Stockton ,San Joaquin,,,$ 136,$ 61,"October 1, 2019"
44,CA,Sunnyvale / Palo Alto / San Jose,Santa Clara,October 1,December 31,$ 241,$ 66,"October 1, 2019"
44,CA,Sunnyvale / Palo Alto / San Jose,Santa Clara,January 1,March 31,$ 253,$ 66,"October 1, 2019"
44,CA,Sunnyvale / Palo Alto / San Jose,Santa Clara,April 1,September 30,$ 241,$ 66,"October 1, 2019"
45,CA,Tahoe City,Placer,,,$ 122,$ 61,"October 1, 2019"
46,CA,Truckee,Nevada ,,,$ 128,$ 76,"October 1, 2019"
47,CA,Visalia,Tulare,,,$ 112,$ 61,"October 1, 2019"
48,CA,West Sacramento / Davis,Yolo,,,$ 127,$ 71,"October 1, 2019"
49,CA,Yosemite National Park,Mariposa,October 1,December 31,$ 126,$ 76,"October 1, 2019"
49,CA,Yosemite National Park,Mariposa,January 1,May 31,$ 119,$ 76,"October 1, 2019"
49,CA,Yosemite National Park,Mariposa,June 1,September 30,$ 126,$ 76,"October 1, 2019"
50,CO,Aspen,Pitkin,October 1,November 30,$ 185,$ 76,"October 1, 2019"
50,CO,Aspen,Pitkin,December 1,March 31,$ 361,$ 76,"October 1, 2019"
50,CO,Aspen,Pitkin,April 1,May 31,$ 169,$ 76,"October 1, 2019"
50,CO,Aspen,Pitkin,June 1,September 30,$ 185,$ 76,"October 1, 2019"
52,CO,Boulder / Broomfield,Boulder / Broomfield,October 1,April 30,$ 128,$ 66,"October 1, 2019"
52,CO,Boulder / Broomfield,Boulder / Broomfield,May 1,August 31,$ 157,$ 66,"October 1, 2019"
52,CO,Boulder / Broomfield,Boulder / Broomfield,September 1,September 30,$ 128,$ 66,"October 1, 2019"
53,CO,Colorado Springs,El Paso,October 1,May 31,$ 109,$ 66,"October 1, 2019"
53,CO,Colorado Springs,El Paso,June 1,August 31,$ 140,$ 66,"October 1, 2019"
53,CO,Colorado Springs,El Paso,September 1,September 30,$ 109,$ 66,"October 1, 2019"
54,CO,Cortez,Montezuma,October 1,May 31,$ 96,$ 61,"October 1, 2019"
54,CO,Cortez,Montezuma,June 1,September 30,$ 124,$ 61,"October 1, 2019"
55,CO,Crested Butte / Gunnison,Gunnison,October 1,November 30,$ 123,$ 76,"October 1, 2019"
55,CO,Crested Butte / Gunnison,Gunnison,December 1,March 31,$ 173,$ 76,"October 1, 2019"
55,CO,Crested Butte / Gunnison,Gunnison,April 1,May 31,$ 98,$ 76,"October 1, 2019"
55,CO,Crested Butte / Gunnison,Gunnison,June 1,September 30,$ 123,$ 76,"October 1, 2019"
56,CO,Denver / Aurora,Denver / Adams / Arapahoe / Jefferson,October 1,October 31,$ 195,$ 76,"October 1, 2019"
56,CO,Denver / Aurora,Denver / Adams / Arapahoe / Jefferson,November 1,December 31,$ 151,$ 76,"October 1, 2019"
56,CO,Denver / Aurora,Denver / Adams / Arapahoe / Jefferson,January 1,March 31,$ 162,$ 76,"October 1, 2019"
56,CO,Denver / Aurora,Denver / Adams / Arapahoe / Jefferson,April 1,September 30,$ 195,$ 76,"October 1, 2019"
427,CO,Douglas ,Douglas,October 1,May 31,$ 120,$ 61,"October 1, 2019"
427,CO,Douglas ,Douglas,June 1,July 31,$ 142,$ 61,"October 1, 2019"
