ID,STATE,DESTINATION,COUNTY/LOCATION DEFINED,SEASON BEGIN,SEASON END,Lodging Rate,M&IE,Effective Date
,,Standard CONUS rate applies to all counties not specifically listed. Cities not listed may be located in a listed county.,,,,$83,$46,"October 1, 2014"
1,AL,Birmingham,Jefferson / Shelby,,,$ 92,$ 56,"October 1, 2014"
2,AL,Gulf Shores,Baldwin,October 1,February 28,$ 100,$ 51,"October 1, 2014"
2,AL,Gulf Shores,Baldwin,March 1,July 31,$ 128,$ 51,"October 1, 2014"
2,AL,Gulf Shores,Baldwin,August 1,September 30,$ 100,$ 51,"October 1, 2014"
3,AL,Huntsville,Madison / Limestone,,,$ 86,$ 51,"October 1, 2014"
460,AL,Mobile,Mobile,October 1,December 31,$ 86,$ 51,"October 1, 2014"
460,AL,Mobile,Mobile,January 1,February 28,$ 95,$ 51,"October 1, 2014"
460,AL,Mobile,Mobile,March 1,September 30,$ 86,$ 51,"October 1, 2014"
6,AR,Hot Springs,Garland,,,$ 100,$ 46,"October 1, 2014"
7,AR,Little Rock,Pulaski,,,$ 89,$ 61,"October 1, 2014"
9,AZ,Grand Canyon / Flagstaff,Coconino / Yavapai less the city of Sedona,October 1,February 28,$ 83,$ 66,"October 1, 2014"
9,AZ,Grand Canyon / Flagstaff,Coconino / Yavapai less the city of Sedona,March 1,September 30,$ 112,$ 66,"October 1, 2014"
8,AZ,Kayenta,Navajo,,,$ 109,$ 61,"October 1, 2014"
10,AZ,Phoenix / Scottsdale,Maricopa,October 1,December 31,$ 106,$ 71,"October 1, 2014"
10,AZ,Phoenix / Scottsdale,Maricopa,January 1,March 31,$ 141,$ 71,"October 1, 2014"
10,AZ,Phoenix / Scottsdale,Maricopa,April 1,May 31,$ 113,$ 71,"October 1, 2014"
10,AZ,Phoenix / Scottsdale,Maricopa,June 1,August 31,$ 83,$ 71,"October 1, 2014"
10,AZ,Phoenix / Scottsdale,Maricopa,September 1,September 30,$ 106,$ 71,"October 1, 2014"
11,AZ,Sedona,City Limits of Sedona,October 1,February 28,$ 131,$ 66,"October 1, 2014"
11,AZ,Sedona,City Limits of Sedona,March 1,May 31,$ 150,$ 66,"October 1, 2014"
11,AZ,Sedona,City Limits of Sedona,June 1,September 30,$ 131,$ 66,"October 1, 2014"
12,AZ,Tucson,Pima,October 1,January 31,$ 86,$ 56,"October 1, 2014"
12,AZ,Tucson,Pima,February 1,May 31,$ 100,$ 56,"October 1, 2014"
12,AZ,Tucson,Pima,June 1,August 31,$ 83,$ 56,"October 1, 2014"
12,AZ,Tucson,Pima,September 1,September 30,$ 86,$ 56,"October 1, 2014"
