ID,STATE,DESTINATION,COUNTY/LOCATION DEFINED,SEASON BEGIN,SEASON END,Lodging Rate,M&IE,Effective Date
,,Standard CONUS rate applies to all counties not specifically listed. Cities not listed may be located in a listed county.,,,,$83,$46,"October 1, 2013"
1,AL,Birmingham,Jefferson and Shelby,,,$ 90,$ 56,"October 1, 2013"
2,AL,Gulf Shores,Baldwin,October 1,May 31,$ 104,$ 51,"October 1, 2013"
2,AL,Gulf Shores,Baldwin,June 1,July 31,$ 133,$ 51,"October 1, 2013"
2,AL,Gulf Shores,Baldwin,August 1,September 30,$ 104,$ 51,"October 1, 2013"
3,AL,Huntsville,Madison and Limestone,,,$ 88,$ 51,"October 1, 2013"
460,AL,Mobile,Mobile,October 1,December 31,$ 86,$ 51,"October 1, 2013"
460,AL,Mobile,Mobile,January 1,February 28,$ 95,$ 51,"October 1, 2013"
460,AL,Mobile,Mobile,March 1,September 30,$ 86,$ 51,"October 1, 2013"
6,AR,Hot Springs,Garland,,,$ 99,$ 46,"October 1, 2013"
7,AR,Little Rock,Pulaski,,,$ 87,$ 61,"October 1, 2013"
9,AZ,Grand Canyon / Flagstaff,Coconino / Yavapai less the city of Sedona,October 1,October 31,$ 101,$ 66,"October 1, 2013"
9,AZ,Grand Canyon / Flagstaff,Coconino / Yavapai less the city of Sedona,November 1,February 28,$ 83,$ 66,"October 1, 2013"
9,AZ,Grand Canyon / Flagstaff,Coconino / Yavapai less the city of Sedona,March 1,September 30,$ 101,$ 66,"October 1, 2013"
10,AZ,Phoenix / Scottsdale,Maricopa,October 1,December 31,$ 106,$ 71,"October 1, 2013"
10,AZ,Phoenix / Scottsdale,Maricopa,January 1,April 30,$ 133,$ 71,"October 1, 2013"
10,AZ,Phoenix / Scottsdale,Maricopa,May 1,August 31,$ 88,$ 71,"October 1, 2013"
10,AZ,Phoenix / Scottsdale,Maricopa,September 1,September 30,$ 106,$ 71,"October 1, 2013"
11,AZ,Sedona,City Limits of Sedona,October 1,February 28,$ 123,$ 66,"October 1, 2013"
11,AZ,Sedona,City Limits of Sedona,March 1,April 30,$ 147,$ 66,"October 1, 2013"
11,AZ,Sedona,City Limits of Sedona,May 1,September 30,$ 123,$ 66,"October 1, 2013"
12,AZ,Tucson,Pima,October 1,January 31,$ 86,$ 56,"October 1, 2013"
12,AZ,Tucson,Pima,February 1,May 31,$ 99,$ 56,"October 1, 2013"
12,AZ,Tucson,Pima,June 1,August 31,$ 83,$ 56,"October 1, 2013"
12,AZ,Tucson,Pima,September 1,September 30,$ 86,$ 56,"October 1, 2013"
14,CA,Antioch / Brentwood / Concord,Contra Costa,,,$ 117,$ 66,"October 1, 2013"
481,CA,Bakersfield / Ridgecrest,Kern County,,,$ 94,$ 51,"October 1, 2013"
16,CA,Barstow / Ontario / Victorville,San Bernardino,,,$ 99,$ 56,"October 1, 2013"
20,CA,Death Valley,Inyo ,,,$ 94,$ 46,"October 1, 2013"
461,CA,Eureka / Arcata / McKinleyville,Humboldt,October 1,May 31,$ 87,$ 61,"October 1, 2013"
461,CA,Eureka / Arcata / McKinleyville,Humboldt,June 1,August 31,$ 102,$ 61,"October 1, 2013"
461,CA,Eureka / Arcata / McKinleyville,Humboldt,September 1,September 30,$ 87,$ 61,"October 1, 2013"
21,CA,Fresno,Fresno,,,$ 85,$ 61,"October 1, 2013"
22,CA,Los Angeles,"Los Angeles, Orange, Ventura, and Edwards AFB, less the city of Santa Monica",,,$ 133,$ 71,"October 1, 2013"
23,CA,Mammoth Lakes,Mono,,,$ 129,$ 61,"October 1, 2013"
24,CA,Mill Valley / San Rafael / Novato,Marin,,,$ 122,$ 56,"October 1, 2013"
25,CA,Modesto,Stanislaus,,,$ 84,$ 51,"October 1, 2013"
26,CA,Monterey,Monterey,October 1,June 30,$ 123,$ 71,"October 1, 2013"
26,CA,Monterey,Monterey,July 1,August 31,$ 156,$ 71,"October 1, 2013"
26,CA,Monterey,Monterey,September 1,September 30,$ 123,$ 71,"October 1, 2013"
27,CA,Napa,Napa,October 1,November 30,$ 163,$ 66,"October 1, 2013"
27,CA,Napa,Napa,December 1,March 31,$ 127,$ 66,"October 1, 2013"
27,CA,Napa,Napa,April 1,September 30,$ 163,$ 66,"October 1, 2013"
28,CA,Oakhurst,Madera ,October 1,April 30,$ 83,$ 56,"October 1, 2013"
28,CA,Oakhurst,Madera ,May 1,September 30,$ 102,$ 56,"October 1, 2013"
29,CA,Oakland,Alameda,,,$ 112,$ 61,"October 1, 2013"
30,CA,Palm Springs,Riverside,October 1,December 31,$ 105,$ 71,"October 1, 2013"
30,CA,Palm Springs,Riverside,January 1,May 31,$ 125,$ 71,"October 1, 2013"
30,CA,Palm Springs,Riverside,June 1,August 31,$ 86,$ 71,"October 1, 2013"
30,CA,Palm Springs,Riverside,September 1,September 30,$ 105,$ 71,"October 1, 2013"
31,CA,Point Arena / Gualala,Mendocino,,,$ 93,$ 66,"October 1, 2013"
32,CA,Redding,Shasta,,,$ 89,$ 61,"October 1, 2013"
33,CA,Sacramento,Sacramento,,,$ 102,$ 61,"October 1, 2013"
34,CA,San Diego,San Diego,,,$ 139,$ 71,"October 1, 2013"
35,CA,San Francisco,San Francisco,October 1,October 31,$ 226,$ 71,"October 1, 2013"
35,CA,San Francisco,San Francisco,November 1,December 31,$ 172,$ 71,"October 1, 2013"
35,CA,San Francisco,San Francisco,January 1,August 31,$ 189,$ 71,"October 1, 2013"
35,CA,San Francisco,San Francisco,September 1,September 30,$ 226,$ 71,"October 1, 2013"
36,CA,San Luis Obispo,San Luis Obispo,October 1,June 30,$ 105,$ 66,"October 1, 2013"
36,CA,San Luis Obispo,San Luis Obispo,July 1,August 31,$ 126,$ 66,"October 1, 2013"
36,CA,San Luis Obispo,San Luis Obispo,September 1,September 30,$ 105,$ 66,"October 1, 2013"
37,CA,San Mateo / Foster City / Belmont,San Mateo,October 1,October 31,$ 140,$ 61,"October 1, 2013"
37,CA,San Mateo / Foster City / Belmont,San Mateo,November 1,January 31,$ 129,$ 61,"October 1, 2013"
37,CA,San Mateo / Foster City / Belmont,San Mateo,February 1,September 30,$ 140,$ 61,"October 1, 2013"
