ID,STATE,DESTINATION,COUNTY/LOCATION DEFINED,SEASON BEGIN,SEASON END,Lodging Rate,M&IE,Effective Date
,,Standard CONUS rate applies to all counties not specifically listed. Cities not listed may be located in a listed county.,,,,$ 94,$ 55,"October 1, 2018"
1,AL,Birmingham,Jefferson,,,$ 107,$ 56,"October 1, 2018"
2,AL,Gulf Shores,Baldwin,October 1,February 28,$ 105,$ 61,"October 1, 2018"
2,AL,Gulf Shores,Baldwin,March 1,May 31,$ 126,$ 61,"October 1, 2018"
2,AL,Gulf Shores,Baldwin,June 1,July 31,$ 165,$ 61,"October 1, 2018"
2,AL,Gulf Shores,Baldwin,August 1,September 30,$ 105,$ 61,"October 1, 2018"
460,AL,Mobile,Mobile,October 1,December 31,$ 94,$ 61,"October 1, 2018"
460,AL,Mobile,Mobile,January 1,February 28,$ 107,$ 61,"October 1, 2018"
460,AL,Mobile,Mobile,March 1,September 30,$ 94,$ 61,"October 1, 2018"
6,AR,Hot Springs,Garland,,,$ 105,$ 61,"October 1, 2018"
9,AZ,Grand Canyon / Flagstaff,Coconino / Yavapai less the city of Sedona,October 1,October 31,$ 146,$ 66,"October 1, 2018"
9,AZ,Grand Canyon / Flagstaff,Coconino / Yavapai less the city of Sedona,November 1,February 28,$ 94,$ 66,"October 1, 2018"
9,AZ,Grand Canyon / Flagstaff,Coconino / Yavapai less the city of Sedona,March 1,April 30,$ 119,$ 66,"October 1, 2018"
9,AZ,Grand Canyon / Flagstaff,Coconino / Yavapai less the city of Sedona,May 1,September 30,$ 146,$ 66,"October 1, 2018"
8,AZ,Kayenta,Navajo,October 1,October 31,$ 131,$ 66,"October 1, 2018"
8,AZ,Kayenta,Navajo,November 1,February 28,$ 105,$ 66,"October 1, 2018"
8,AZ,Kayenta,Navajo,March 1,September 30,$ 131,$ 66,"October 1, 2018"
10,AZ,Phoenix / Scottsdale,Maricopa,October 1,December 31,$ 121,$ 56,"October 1, 2018"
10,AZ,Phoenix / Scottsdale,Maricopa,January 1,March 31,$ 172,$ 56,"October 1, 2018"
10,AZ,Phoenix / Scottsdale,Maricopa,April 1,May 31,$ 133,$ 56,"October 1, 2018"
10,AZ,Phoenix / Scottsdale,Maricopa,June 1,August 31,$ 94,$ 56,"October 1, 2018"
10,AZ,Phoenix / Scottsdale,Maricopa,September 1,September 30,$ 121,$ 56,"October 1, 2018"
11,AZ,Sedona,City Limits of Sedona,October 1,February 28,$ 166,$ 76,"October 1, 2018"
11,AZ,Sedona,City Limits of Sedona,March 1,August 31,$ 178,$ 76,"October 1, 2018"
11,AZ,Sedona,City Limits of Sedona,September 1,September 30,$ 166,$ 76,"October 1, 2018"
12,AZ,Tucson,Pima,October 1,December 31,$ 94,$ 61,"October 1, 2018"
12,AZ,Tucson,Pima,January 1,February 28,$ 119,$ 61,"October 1, 2018"
12,AZ,Tucson,Pima,March 1,September 30,$ 94,$ 61,"October 1, 2018"
14,CA,Antioch / Brentwood / Concord,Contra Costa,,,$ 158,$ 66,"October 1, 2018"
481,CA,Bakersfield / Ridgecrest,Kern,,,$ 105,$ 61,"October 1, 2018"
16,CA,Barstow / Ontario / Victorville,San Bernardino,,,$ 102,$ 61,"October 1, 2018"
20,CA,Death Valley,Inyo ,,,$ 118,$ 66,"October 1, 2018"
461,CA,Eureka / Arcata / McKinleyville,Humboldt,October 1,May 31,$ 103,$ 71,"October 1, 2018"
461,CA,Eureka / Arcata / McKinleyville,Humboldt,June 1,August 31,$ 135,$ 71,"October 1, 2018"
461,CA,Eureka / Arcata / McKinleyville,Humboldt,September 1,September 30,$ 103,$ 71,"October 1, 2018"
21,CA,Fresno,Fresno,,,$ 105,$ 66,"October 1, 2018"
22,CA,Los Angeles,Los Angeles / Orange / Ventura / Edwards AFB less the city of Santa Monica,October 1,October 31,$ 180,$ 66,"October 1, 2018"
22,CA,Los Angeles,Los Angeles / Orange / Ventura / Edwards AFB less the city of Santa Monica,November 1,December 31,$ 161,$ 66,"October 1, 2018"
22,CA,Los Angeles,Los Angeles / Orange / Ventura / Edwards AFB less the city of Santa Monica,January 1,September 30,$ 180,$ 66,"October 1, 2018"
23,CA,Mammoth Lakes,Mono,October 1,November 30,$ 101,$ 76,"October 1, 2018"
