ID,STATE,DESTINATION,COUNTY/LOCATION DEFINED,SEASON BEGIN,SEASON END,Lodging Rate,M&IE,Effective Date
,,Standard CONUS rate applies to all counties not specifically listed. Cities not listed may be located in a listed county.,,,,$89,$51,"October 1, 2015"
1,AL,Birmingham,Jefferson / Shelby,,,$ 94,$ 59,"October 1, 2015"
2,AL,Gulf Shores,Baldwin,October 1,February 29,$ 101,$ 64,"October 1, 2015"
2,AL,Gulf Shores,Baldwin,March 1,July 31,$ 130,$ 64,"October 1, 2015"
2,AL,Gulf Shores,Baldwin,August 1,September 30,$ 101,$ 64,"October 1, 2015"
460,AL,Mobile,Mobile,October 1,December 31,$ 89,$ 59,"October 1, 2015"
460,AL,Mobile,Mobile,January 1,February 29,$ 99,$ 59,"October 1, 2015"
460,AL,Mobile,Mobile,March 1,September 30,$ 89,$ 59,"October 1, 2015"
6,AR,Hot Springs,Garland,,,$ 101,$ 59,"October 1, 2015"
7,AR,Little Rock,Pulaski,,,$ 91,$ 59,"October 1, 2015"
9,AZ,Grand Canyon / Flagstaff,Coconino / Yavapai less the city of Sedona,October 1,October 31,$ 124,$ 64,"October 1, 2015"
9,AZ,Grand Canyon / Flagstaff,Coconino / Yavapai less the city of Sedona,November 1,February 29,$ 89,$ 64,"October 1, 2015"
9,AZ,Grand Canyon / Flagstaff,Coconino / Yavapai less the city of Sedona,March 1,September 30,$ 124,$ 64,"October 1, 2015"
8,AZ,Kayenta,Navajo,,,$ 112,$ 59,"October 1, 2015"
10,AZ,Phoenix / Scottsdale,Maricopa,October 1,December 31,$ 113,$ 59,"October 1, 2015"
10,AZ,Phoenix / Scottsdale,Maricopa,January 1,March 31,$ 161,$ 59,"October 1, 2015"
10,AZ,Phoenix / Scottsdale,Maricopa,April 1,May 31,$ 120,$ 59,"October 1, 2015"
10,AZ,Phoenix / Scottsdale,Maricopa,June 1,August 31,$ 89,$ 59,"October 1, 2015"
10,AZ,Phoenix / Scottsdale,Maricopa,September 1,September 30,$ 113,$ 59,"October 1, 2015"
11,AZ,Sedona,City Limits of Sedona,October 1,February 29,$ 134,$ 74,"October 1, 2015"
11,AZ,Sedona,City Limits of Sedona,March 1,August 31,$ 141,$ 74,"October 1, 2015"
11,AZ,Sedona,City Limits of Sedona,September 1,September 30,$ 134,$ 74,"October 1, 2015"
12,AZ,Tucson,Pima,October 1,December 31,$ 89,$ 59,"October 1, 2015"
12,AZ,Tucson,Pima,January 1,February 29,$ 106,$ 59,"October 1, 2015"
12,AZ,Tucson,Pima,March 1,September 30,$ 89,$ 59,"October 1, 2015"
