ID,STATE,DESTINATION,COUNTY/LOCATION DEFINED,SEASON BEGIN,SEASON END,Lodging Rate,M&IE,Effective Date
,,Standard CONUS rate applies to all counties not specifically listed. Cities not listed may be located in a listed county.,,,,$ 98,$ 59,"October 1, 2022"
1,AL,Birmingham,Jefferson,,,$ 113,$ 69,"October 1, 2022"
2,AL,Gulf Shores,Baldwin,October 1,February 28,$ 137,$ 69,"October 1, 2022"
2,AL,Gulf Shores,Baldwin,March 1,May 31,$ 161,$ 69,"October 1, 2022"
2,AL,Gulf Shores,Baldwin,June 1,July 31,$ 237,$ 69,"October 1, 2022"
2,AL,Gulf Shores,Baldwin,August 1,September 30,$ 137,$ 69,"October 1, 2022"
460,AL,Mobile,Mobile,October 1,December 31,$ 100,$ 59,"October 1, 2022"
460,AL,Mobile,Mobile,January 1,March 31,$ 114,$ 59,"October 1, 2022"
460,AL,Mobile,Mobile,April 1,September 30,$ 100,$ 59,"October 1, 2022"
6,AR,Hot Springs,Garland,,,$ 103,$ 64,"October 1, 2022"
9,AZ,Grand Canyon / Flagstaff,Coconino / Yavapai less the city of Sedona,October 1,October 31,$ 138,$ 74,"October 1, 2022"
9,AZ,Grand Canyon / Flagstaff,Coconino / Yavapai less the city of Sedona,November 1,February 28,$ 103,$ 74,"October 1, 2022"
9,AZ,Grand Canyon / Flagstaff,Coconino / Yavapai less the city of Sedona,March 1,April 30,$ 127,$ 74,"October 1, 2022"
9,AZ,Grand Canyon / Flagstaff,Coconino / Yavapai less the city of Sedona,May 1,September 30,$ 138,$ 74,"October 1, 2022"
8,AZ,Kayenta,Navajo,October 1,October 31,$ 134,$ 64,"October 1, 2022"
8,AZ,Kayenta,Navajo,November 1,February 28,$ 115,$ 64,"October 1, 2022"
8,AZ,Kayenta,Navajo,March 1,September 30,$ 134,$ 64,"October 1, 2022"
10,AZ,Phoenix / Scottsdale,Maricopa,October 1,January 31,$ 151,$ 69,"October 1, 2022"
10,AZ,Phoenix / Scottsdale,Maricopa,February 1,March 31,$ 205,$ 69,"October 1, 2022"
10,AZ,Phoenix / Scottsdale,Maricopa,April 1,May 31,$ 151,$ 69,"October 1, 2022"
10,AZ,Phoenix / Scottsdale,Maricopa,June 1,August 31,$ 103,$ 69,"October 1, 2022"
10,AZ,Phoenix / Scottsdale,Maricopa,September 1,September 30,$ 151,$ 69,"October 1, 2022"
11,AZ,Sedona,City Limits of Sedona,October 1,December 31,$ 247,$ 79,"October 1, 2022"
11,AZ,Sedona,City Limits of Sedona,January 1,February 28,$ 198,$ 79,"October 1, 2022"
11,AZ,Sedona,City Limits of Sedona,March 1,April 30,$ 310,$ 79,"October 1, 2022"
11,AZ,Sedona,City Limits of Sedona,May 1,August 31,$ 215,$ 79,"October 1, 2022"
11,AZ,Sedona,City Limits of Sedona,September 1,September 30,$ 247,$ 79,"October 1, 2022"
12,AZ,Tucson,Pima,October 1,December 31,$ 104,$ 64,"October 1, 2022"
12,AZ,Tucson,Pima,January 1,March 31,$ 145,$ 64,"October 1, 2022"
12,AZ,Tucson,Pima,April 1,September 30,$ 104,$ 64,"October 1, 2022"
14,CA,Antioch / Brentwood / Concord,Contra Costa,,,$ 165,$ 74,"October 1, 2022"
481,CA,Bakersfield / Ridgecrest,Kern,,,$ 123,$ 64,"October 1, 2022"
16,CA,Barstow / Ontario / Victorville,San Bernardino,,,$ 120,$ 64,"October 1, 2022"
20,CA,Death Valley,Inyo / NAWS China Lake,October 1,October 31,$ 130,$ 69,"October 1, 2022"
20,CA,Death Valley,Inyo / NAWS China Lake,November 1,January 31,$ 116,$ 69,"October 1, 2022"
20,CA,Death Valley,Inyo / NAWS China Lake,February 1,September 30,$ 130,$ 69,"October 1, 2022"
461,CA,Eureka / Arcata / McKinleyville,Humboldt,October 1,May 31,$ 118,$ 69,"October 1, 2022"
461,CA,Eureka / Arcata / McKinleyville,Humboldt,June 1,August 31,$ 169,$ 69,"October 1, 2022"
461,CA,Eureka / Arcata / McKinleyville,Humboldt,September 1,September 30,$ 118,$ 69,"October 1, 2022"
21,CA,Fresno,Fresno,,,$ 113,$ 69,"October 1, 2022"
22,CA,Los Angeles,Los Angeles / Orange / Ventura / Edwards AFB less the city of Santa Monica,October 1,October 31,$ 182,$ 74,"October 1, 2022"
22,CA,Los Angeles,Los Angeles / Orange / Ventura / Edwards AFB less the city of Santa Monica,November 1,December 31,$ 168,$ 74,"October 1, 2022"
22,CA,Los Angeles,Los Angeles / Orange / Ventura / Edwards AFB less the city of Santa Monica,January 1,September 30,$ 182,$ 74,"October 1, 2022"
23,CA,Mammoth Lakes,Mono,October 1,November 30,$ 138,$ 79,"October 1, 2022"
23,CA,Mammoth Lakes,Mono,December 1,June 30,$ 156,$ 79,"October 1, 2022"
23,CA,Mammoth Lakes,Mono,July 1,September 30,$ 138,$ 79,"October 1, 2022"
24,CA,Mill Valley / San Rafael / Novato,Marin,October 1,October 31,$ 189,$ 74,"October 1, 2022"
24,CA,Mill Valley / San Rafael / Novato,Marin,November 1,May 31,$ 166,$ 74,"October 1, 2022"
24,CA,Mill Valley / San Rafael / Novato,Marin,June 1,September 30,$ 189,$ 74,"October 1, 2022"
