State/Country,Location,Season Begin,Season End,Lodging,Local Meal Rate,Proportional Meal Rate,Local Incidental,Footnote Number,Footnote Rate,Maximum Per Diem,Effective Date,Publication Date
ALASKA,ADAK,04/01/2015,10/31/2015,192.0,59.0,37.0,15.0,,,266.0,03/01/2015,09/01/2015
ALASKA,ADAK,11/01/2015,03/31/2015,150.0,56.0,35.0,14.0,,,220.0,03/01/2015,09/01/2015
ALASKA,ANCHORAGE [INCL NAV RES],05/16/2015,09/30/2015,339.0,101.0,58.0,25.0,,,465.0,07/01/2015,09/01/2015
ALASKA,ANCHORAGE [INCL NAV RES],10/01/2015,05/15/2015,99.0,82.0,48.0,20.0,,,201.0,07/01/2015,09/01/2015
ALASKA,BARROW,01/01/2015,12/31/2015,177.0,63.0,39.0,15.0,,,255.0,03/01/2015,09/01/2015
ALASKA,BARTER ISLAND LRRS,01/01/2015,12/31/2015,110.0,80.0,47.0,19.0,,,209.0,04/01/2015,09/01/2015
ALASKA,BETHEL,01/01/2015,12/31/2015,179.0,75.0,45.0,19.0,,,273.0,03/01/2015,09/01/2015
ALASKA,BETTLES,01/01/2015,12/31/2015,175.0,64.0,39.0,15.0,,,254.0,03/01/2015,09/01/2015
ALASKA,CAPE LISBURNE LRRS,01/01/2015,12/31/2015,110.0,80.0,47.0,19.0,,,209.0,03/01/2015,09/01/2015
ALASKA,CAPE NEWENHAM LRRS,01/01/2015,12/31/2015,110.0,80.0,47.0,19.0,,,209.0,03/01/2015,09/01/2015
ALASKA,CAPE ROMANZOF LRRS,01/01/2015,12/31/2015,110.0,80.0,47.0,19.0,,,209.0,03/01/2015,09/01/2015
ALASKA,CLEAR AB,01/01/2015,12/31/2015,90.0,66.0,40.0,16.0,,,172.0,10/01/2006,09/01/2015
ALASKA,COLD BAY LRRS,01/01/2015,12/31/2015,110.0,80.0,47.0,19.0,,,209.0,03/01/2015,09/01/2015
ALASKA,COLDFOOT,01/01/2015,12/31/2015,165.0,56.0,35.0,14.0,,,235.0,10/01/2006,09/01/2015
ALASKA,COPPER CENTER,05/15/2015,09/15/2015,130.0,64.0,39.0,15.0,,,209.0,03/01/2015,09/01/2015
ALASKA,COPPER CENTER,09/16/2015,05/14/2015,89.0,60.0,37.0,15.0,,,164.0,03/01/2015,09/01/2015
ALASKA,CORDOVA,01/01/2015,12/31/2015,95.0,62.0,38.0,15.0,,,172.0,03/01/2015,09/01/2015
ALASKA,CRAIG,04/01/2015,09/30/2015,129.0,62.0,38.0,15.0,,,206.0,06/01/2014,09/01/2015
ALASKA,CRAIG,10/01/2015,03/31/2015,85.0,58.0,36.0,14.0,,,157.0,06/01/2014,09/01/2015
ALASKA,DEADHORSE,01/01/2015,12/31/2015,170.0,56.0,35.0,14.0,,,240.0,05/01/2014,09/01/2015
ALASKA,DELTA JUNCTION,05/01/2015,09/30/2015,169.0,48.0,31.0,12.0,,,229.0,03/01/2015,09/01/2015
ALASKA,DELTA JUNCTION,10/01/2015,04/30/2015,139.0,46.0,30.0,11.0,,,196.0,03/01/2015,09/01/2015
ALASKA,DENALI NATIONAL PARK,06/01/2015,08/31/2015,185.0,71.0,43.0,18.0,,,274.0,03/01/2015,09/01/2015
ALASKA,DENALI NATIONAL PARK,09/01/2015,05/31/2015,109.0,66.0,40.0,16.0,,,191.0,03/01/2015,09/01/2015
ALASKA,DILLINGHAM,05/15/2015,10/15/2015,185.0,89.0,52.0,22.0,,,296.0,01/01/2011,09/01/2015
ALASKA,DILLINGHAM,10/16/2015,05/14/2015,169.0,87.0,51.0,22.0,,,278.0,01/01/2011,09/01/2015
ALASKA,DUTCH HARBOR-UNALASKA,01/01/2015,12/31/2015,135.0,64.0,39.0,15.0,,,214.0,03/01/2015,09/01/2015
ALASKA,EARECKSON AIR STATION,01/01/2015,12/31/2015,90.0,62.0,38.0,15.0,,,167.0,06/01/2007,09/01/2015
ALASKA,EIELSON AFB,05/15/2015,09/15/2015,154.0,68.0,41.0,17.0,,,239.0,03/01/2015,09/01/2015
ALASKA,EIELSON AFB,09/16/2015,05/14/2015,75.0,62.0,38.0,15.0,,,152.0,03/01/2015,09/01/2015
ALASKA,ELFIN COVE,01/01/2015,12/31/2015,225.0,54.0,34.0,14.0,,,293.0,03/01/2015,09/01/2015
ALASKA,ELMENDORF AFB,05/16/2015,09/30/2015,339.0,101.0,58.0,25.0,,,465.0,07/01/2015,09/01/2015
ALASKA,ELMENDORF AFB,10/01/2015,05/15/2015,99.0,82.0,48.0,20.0,,,201.0,07/01/2015,09/01/2015
ALASKA,FAIRBANKS,05/15/2015,09/15/2015,154.0,68.0,41.0,17.0,,,239.0,03/01/2015,09/01/2015
ALASKA,FAIRBANKS,09/16/2015,05/14/2015,75.0,62.0,38.0,15.0,,,152.0,03/01/2015,09/01/2015
ALASKA,FOOTLOOSE,01/01/2015,12/31/2015,175.0,15.0,15.0,3.0,,,193.0,10/01/2002,09/01/2015
ALASKA,FORT YUKON LRRS,01/01/2015,12/31/2015,110.0,80.0,47.0,19.0,,,209.0,03/01/2015,09/01/2015
ALASKA,FT. GREELY,05/01/2015,09/30/2015,169.0,48.0,31.0,12.0,,,229.0,03/01/2015,09/01/2015
ALASKA,FT. GREELY,10/01/2015,04/30/2015,139.0,46.0,30.0,11.0,,,196.0,03/01/2015,09/01/2015
ALASKA,FT. RICHARDSON,05/16/2015,09/30/2015,339.0,101.0,58.0,25.0,,,465.0,07/01/2015,09/01/2015
ALASKA,FT. RICHARDSON,10/01/2015,05/15/2015,99.0,82.0,48.0,20.0,,,201.0,07/01/2015,09/01/2015
ALASKA,FT. WAINWRIGHT,05/15/2015,09/15/2015,154.0,68.0,41.0,17.0,,,239.0,03/01/2015,09/01/2015
ALASKA,FT. WAINWRIGHT,09/16/2015,05/14/2015,75.0,62.0,38.0,15.0,,,152.0,03/01/2015,09/01/2015
ALASKA,GAMBELL,01/01/2015,12/31/2015,133.0,48.0,31.0,11.0,,,192.0,03/01/2015,09/01/2015
ALASKA,GLENNALLEN,05/15/2015,09/15/2015,130.0,64.0,39.0,15.0,,,209.0,03/01/2015,09/01/2015
ALASKA,GLENNALLEN,09/16/2015,05/14/2015,89.0,60.0,37.0,15.0,,,164.0,03/01/2015,09/01/2015
ALASKA,HAINES,01/01/2015,12/31/2015,107.0,81.0,48.0,20.0,,,208.0,01/01/2011,09/01/2015
ALASKA,HEALY,06/01/2015,08/31/2015,185.0,71.0,43.0,18.0,,,274.0,03/01/2015,09/01/2015
ALASKA,HEALY,09/01/2015,05/31/2015,109.0,66.0,40.0,16.0,,,191.0,03/01/2015,09/01/2015
ALASKA,HOMER,05/01/2015,09/30/2015,159.0,73.0,44.0,18.0,,,250.0,03/01/2015,09/01/2015
ALASKA,HOMER,10/01/2015,04/30/2015,89.0,67.0,41.0,17.0,,,173.0,03/01/2015,09/01/2015
ALASKA,JB ELMENDORF-RICHARDSON,05/16/2015,09/30/2015,339.0,101.0,58.0,25.0,,,465.0,07/01/2015,09/01/2015
ALASKA,JB ELMENDORF-RICHARDSON,10/01/2015,05/15/2015,99.0,82.0,48.0,20.0,,,201.0,07/01/2015,09/01/2015
ALASKA,JUNEAU,05/01/2015,09/30/2015,159.0,72.0,43.0,18.0,,,249.0,03/01/2015,09/01/2015
ALASKA,JUNEAU,10/01/2015,04/30/2015,135.0,70.0,42.0,18.0,,,223.0,03/01/2015,09/01/2015
ALASKA,KAKTOVIK,01/01/2015,12/31/2015,165.0,69.0,42.0,17.0,,,251.0,10/01/2002,09/01/2015
ALASKA,KAVIK CAMP,01/01/2015,12/31/2015,250.0,57.0,36.0,14.0,,,321.0,03/01/2015,09/01/2015
ALASKA,KENAI-SOLDOTNA,05/01/2015,10/31/2015,194.0,86.0,50.0,21.0,,,301.0,03/01/2015,09/01/2015
