State/Country,Location,Season Begin,Season End,Lodging,Local Meal Rate,Proportional Meal Rate,Local Incidental,Footnote Number,Footnote Rate,Maximum Per Diem,Effective Date,Publication Date
ALASKA,ADAK,01/01/2021,12/31/2021,171.0,90.0,53.0,23.0,,,284.0,10/01/2021,11/01/2021
ALASKA,ANCHORAGE,01/01/2021,12/31/2021,229.0,100.0,58.0,25.0,,,354.0,10/01/2021,11/01/2021
ALASKA,BARROW,06/01/2021,08/31/2021,326.0,103.0,59.0,26.0,,,455.0,10/01/2021,11/01/2021
ALASKA,BARROW,09/01/2021,05/31/2021,252.0,103.0,59.0,26.0,,,381.0,10/01/2021,11/01/2021
ALASKA,BARTER ISLAND LRRS,01/01/2021,12/31/2021,171.0,90.0,53.0,23.0,,,284.0,10/01/2021,11/01/2021
ALASKA,BETHEL,01/01/2021,12/31/2021,219.0,81.0,48.0,20.0,,,320.0,10/01/2021,11/01/2021
ALASKA,BETTLES,01/01/2021,12/31/2021,171.0,90.0,53.0,23.0,3.0,,284.0,10/01/2021,11/01/2021
ALASKA,CAPE LISBURNE LRRS,01/01/2021,12/31/2021,171.0,90.0,53.0,23.0,,,284.0,10/01/2021,11/01/2021
ALASKA,CAPE NEWENHAM LRRS,01/01/2021,12/31/2021,171.0,90.0,53.0,23.0,,,284.0,10/01/2021,11/01/2021
ALASKA,CAPE ROMANZOF LRRS,01/01/2021,12/31/2021,171.0,90.0,53.0,23.0,,,284.0,10/01/2021,11/01/2021
ALASKA,CLEAR AB,01/01/2021,12/31/2021,171.0,90.0,53.0,23.0,,,284.0,10/01/2021,11/01/2021
ALASKA,COLD BAY LRRS,01/01/2021,12/31/2021,171.0,90.0,53.0,23.0,,,284.0,10/01/2021,11/01/2021
ALASKA,COLD BAY,01/01/2021,12/31/2021,171.0,90.0,53.0,23.0,,,284.0,10/01/2021,11/01/2021
ALASKA,COLDFOOT,01/01/2021,12/31/2021,219.0,74.0,45.0,19.0,,,312.0,10/01/2021,11/01/2021
ALASKA,COPPER CENTER,01/01/2021,12/31/2021,171.0,92.0,54.0,23.0,,,286.0,10/01/2021,11/01/2021
ALASKA,CORDOVA,03/01/2021,10/31/2021,174.0,85.0,50.0,21.0,,,280.0,10/01/2021,11/01/2021
ALASKA,CORDOVA,11/01/2021,02/28/2021,150.0,85.0,50.0,21.0,,,256.0,10/01/2021,11/01/2021
ALASKA,CRAIG,05/01/2021,09/30/2021,139.0,75.0,45.0,19.0,,,233.0,10/01/2021,11/01/2021
ALASKA,CRAIG,10/01/2021,04/30/2021,109.0,75.0,45.0,19.0,,,203.0,10/01/2021,11/01/2021
ALASKA,DEADHORSE,01/01/2021,12/31/2021,171.0,90.0,53.0,23.0,3.0,,284.0,10/01/2021,11/01/2021
ALASKA,DELTA JUNCTION,01/01/2021,12/31/2021,171.0,81.0,48.0,20.0,,,272.0,10/01/2021,11/01/2021
ALASKA,DENALI NATIONAL PARK,05/01/2021,10/14/2021,164.0,79.0,47.0,19.0,,,262.0,10/01/2021,11/01/2021
ALASKA,DENALI NATIONAL PARK,10/15/2021,04/30/2021,99.0,79.0,47.0,19.0,,,197.0,10/01/2021,11/01/2021
ALASKA,DILLINGHAM,05/01/2021,09/30/2021,320.0,90.0,53.0,23.0,,,433.0,10/01/2021,11/01/2021
ALASKA,DILLINGHAM,10/01/2021,04/30/2021,298.0,90.0,53.0,23.0,,,411.0,10/01/2021,11/01/2021
ALASKA,DUTCH HARBOR-UNALASKA,01/01/2021,12/31/2021,171.0,103.0,59.0,26.0,,,300.0,10/01/2021,11/01/2021
ALASKA,EARECKSON AIR STATION,01/01/2021,12/31/2021,146.0,59.0,37.0,15.0,,,220.0,10/01/2021,11/01/2021
ALASKA,EIELSON AFB,05/16/2021,09/30/2021,154.0,80.0,48.0,20.0,,,254.0,10/01/2021,11/01/2021
ALASKA,EIELSON AFB,10/01/2021,05/15/2021,79.0,80.0,48.0,20.0,,,179.0,10/01/2021,11/01/2021
ALASKA,ELFIN COVE,01/01/2021,12/31/2021,171.0,90.0,53.0,23.0,,,284.0,10/01/2021,11/01/2021
ALASKA,ELMENDORF AFB,01/01/2021,12/31/2021,229.0,100.0,58.0,25.0,,,354.0,10/01/2021,11/01/2021
ALASKA,FAIRBANKS,05/16/2021,09/30/2021,154.0,80.0,48.0,20.0,,,254.0,10/01/2021,11/01/2021
ALASKA,FAIRBANKS,10/01/2021,05/15/2021,79.0,80.0,48.0,20.0,,,179.0,10/01/2021,11/01/2021
ALASKA,FORT YUKON LRRS,01/01/2021,12/31/2021,171.0,90.0,53.0,23.0,,,284.0,10/01/2021,11/01/2021
ALASKA,FT. GREELY,01/01/2021,12/31/2021,171.0,81.0,48.0,20.0,,,272.0,10/01/2021,11/01/2021
ALASKA,FT. RICHARDSON,01/01/2021,12/31/2021,229.0,100.0,58.0,25.0,,,354.0,10/01/2021,11/01/2021
ALASKA,FT. WAINWRIGHT,05/16/2021,09/30/2021,154.0,80.0,48.0,20.0,,,254.0,10/01/2021,11/01/2021
ALASKA,FT. WAINWRIGHT,10/01/2021,05/15/2021,79.0,80.0,48.0,20.0,,,179.0,10/01/2021,11/01/2021
ALASKA,GAMBELL,01/01/2021,12/31/2021,171.0,90.0,53.0,23.0,,,284.0,10/01/2021,11/01/2021
ALASKA,GLENNALLEN,01/01/2021,12/31/2021,171.0,90.0,53.0,23.0,,,284.0,10/01/2021,11/01/2021
ALASKA,HAINES,01/01/2021,12/31/2021,159.0,90.0,53.0,23.0,,,272.0,10/01/2021,11/01/2021
ALASKA,HEALY,05/01/2021,10/14/2021,164.0,79.0,47.0,19.0,,,262.0,10/01/2021,11/01/2021
ALASKA,HEALY,10/15/2021,04/30/2021,99.0,79.0,47.0,19.0,,,197.0,10/01/2021,11/01/2021
ALASKA,HOMER,05/01/2021,09/30/2021,189.0,99.0,57.0,25.0,,,313.0,10/01/2021,11/01/2021
ALASKA,HOMER,10/01/2021,04/30/2021,129.0,99.0,57.0,25.0,,,253.0,10/01/2021,11/01/2021
ALASKA,JB ELMENDORF-RICHARDSON,01/01/2021,12/31/2021,229.0,100.0,58.0,25.0,,,354.0,10/01/2021,11/01/2021
ALASKA,JUNEAU,02/01/2021,09/30/2021,249.0,95.0,55.0,23.0,,,367.0,10/01/2021,11/01/2021
ALASKA,JUNEAU,10/01/2021,01/31/2021,189.0,95.0,55.0,23.0,,,307.0,10/01/2021,11/01/2021
ALASKA,KAKTOVIK,01/01/2021,12/31/2021,171.0,90.0,53.0,23.0,3.0,,284.0,10/01/2021,11/01/2021
