State/Country,Location,Season Begin,Season End,Lodging,Local Meal Rate,Proportional Meal Rate,Local Incidental,Footnote Number,Footnote Rate,Maximum Per Diem,Effective Date,Publication Date
ALASKA,ADAK,01/01/2023,12/31/2023,193.0,97.0,58.0,24.0,,,314.0,11/01/2022,05/01/2023
ALASKA,ANCHORAGE,01/01/2023,12/31/2023,229.0,116.0,67.0,29.0,,,374.0,11/01/2022,05/01/2023
ALASKA,BARROW,05/01/2023,08/31/2023,301.0,103.0,61.0,26.0,,,430.0,11/01/2022,05/01/2023
ALASKA,BARROW,09/01/2023,04/30/2023,266.0,103.0,61.0,26.0,,,395.0,11/01/2022,05/01/2023
ALASKA,BARTER ISLAND LRRS,01/01/2023,12/31/2023,193.0,97.0,58.0,24.0,,,314.0,11/01/2022,05/01/2023
ALASKA,BETHEL,01/01/2023,12/31/2023,219.0,81.0,50.0,20.0,,,320.0,11/01/2022,05/01/2023
ALASKA,BETTLES,01/01/2023,12/31/2023,193.0,97.0,58.0,24.0,3.0,,314.0,11/01/2022,05/01/2023
ALASKA,CAPE LISBURNE LRRS,01/01/2023,12/31/2023,193.0,97.0,58.0,24.0,,,314.0,11/01/2022,05/01/2023
ALASKA,CAPE NEWENHAM LRRS,01/01/2023,12/31/2023,193.0,97.0,58.0,24.0,,,314.0,11/01/2022,05/01/2023
ALASKA,CAPE ROMANZOF LRRS,01/01/2023,12/31/2023,193.0,97.0,58.0,24.0,,,314.0,11/01/2022,05/01/2023
ALASKA,CLEAR AB,01/01/2023,12/31/2023,193.0,97.0,58.0,24.0,,,314.0,11/01/2022,05/01/2023
ALASKA,COLD BAY LRRS,01/01/2023,12/31/2023,193.0,97.0,58.0,24.0,,,314.0,11/01/2022,05/01/2023
ALASKA,COLD BAY,01/01/2023,12/31/2023,193.0,97.0,58.0,24.0,,,314.0,11/01/2022,05/01/2023
ALASKA,COLDFOOT,01/01/2023,12/31/2023,249.0,74.0,46.0,19.0,,,342.0,11/01/2022,05/01/2023
ALASKA,COPPER CENTER,01/01/2023,12/31/2023,193.0,97.0,58.0,24.0,,,314.0,11/01/2022,05/01/2023
ALASKA,CORDOVA,01/01/2023,12/31/2023,174.0,85.0,52.0,21.0,,,280.0,11/01/2022,05/01/2023
ALASKA,CRAIG,05/01/2023,09/30/2023,139.0,75.0,47.0,19.0,,,233.0,11/01/2022,05/01/2023
ALASKA,CRAIG,10/01/2023,04/30/2023,109.0,75.0,47.0,19.0,,,203.0,11/01/2022,05/01/2023
ALASKA,DEADHORSE,01/01/2023,12/31/2023,193.0,97.0,58.0,24.0,3.0,,314.0,11/01/2022,05/01/2023
ALASKA,DELTA JUNCTION,01/01/2023,12/31/2023,193.0,85.0,52.0,21.0,,,299.0,11/01/2022,05/01/2023
ALASKA,DENALI NATIONAL PARK,05/01/2023,10/14/2023,164.0,79.0,49.0,19.0,,,262.0,10/01/2021,05/01/2023
ALASKA,DENALI NATIONAL PARK,10/15/2023,04/30/2023,99.0,79.0,49.0,19.0,,,197.0,10/01/2021,05/01/2023
ALASKA,DILLINGHAM,01/01/2023,12/31/2023,320.0,90.0,54.0,23.0,,,433.0,11/01/2022,05/01/2023
ALASKA,DUTCH HARBOR-UNALASKA,01/01/2023,12/31/2023,154.0,103.0,61.0,26.0,,,283.0,11/01/2022,05/01/2023
ALASKA,EARECKSON AIR STATION,01/01/2023,12/31/2023,146.0,59.0,39.0,15.0,,,220.0,11/01/2022,05/01/2023
ALASKA,EIELSON AFB,05/16/2023,09/30/2023,204.0,86.0,52.0,22.0,,,312.0,11/01/2022,05/01/2023
ALASKA,EIELSON AFB,10/01/2023,05/15/2023,129.0,86.0,52.0,22.0,,,237.0,11/01/2022,05/01/2023
ALASKA,ELFIN COVE,01/01/2023,12/31/2023,193.0,97.0,58.0,24.0,,,314.0,11/01/2022,05/01/2023
ALASKA,ELMENDORF AFB,01/01/2023,12/31/2023,229.0,116.0,67.0,29.0,,,374.0,11/01/2022,05/01/2023
ALASKA,FAIRBANKS,05/16/2023,09/30/2023,204.0,86.0,52.0,22.0,,,312.0,11/01/2022,05/01/2023
ALASKA,FAIRBANKS,10/01/2023,05/15/2023,129.0,86.0,52.0,22.0,,,237.0,11/01/2022,05/01/2023
ALASKA,FORT YUKON LRRS,01/01/2023,12/31/2023,193.0,97.0,58.0,24.0,,,314.0,11/01/2022,05/01/2023
ALASKA,FT. GREELY,01/01/2023,12/31/2023,193.0,85.0,52.0,21.0,,,299.0,11/01/2022,05/01/2023
ALASKA,FT. RICHARDSON,01/01/2023,12/31/2023,229.0,116.0,67.0,29.0,,,374.0,11/01/2022,05/01/2023
ALASKA,FT. WAINWRIGHT,05/16/2023,09/30/2023,204.0,86.0,52.0,22.0,,,312.0,11/01/2022,05/01/2023
ALASKA,FT. WAINWRIGHT,10/01/2023,05/15/2023,129.0,86.0,52.0,22.0,,,237.0,11/01/2022,05/01/2023
ALASKA,GAMBELL,01/01/2023,12/31/2023,193.0,97.0,58.0,24.0,,,314.0,11/01/2022,05/01/2023
ALASKA,GLENNALLEN,01/01/2023,12/31/2023,193.0,97.0,58.0,24.0,,,314.0,11/01/2022,05/01/2023
ALASKA,HAINES,05/01/2023,09/30/2023,184.0,90.0,54.0,23.0,,,297.0,11/01/2022,05/01/2023
ALASKA,HAINES,10/01/2023,04/30/2023,159.0,90.0,54.0,23.0,,,272.0,11/01/2022,05/01/2023
ALASKA,HEALY,05/01/2023,09/30/2023,189.0,95.0,57.0,23.0,,,307.0,11/01/2022,05/01/2023
ALASKA,HEALY,10/01/2023,04/30/2023,99.0,95.0,57.0,23.0,,,217.0,11/01/2022,05/01/2023
ALASKA,HOMER,05/01/2023,09/30/2023,210.0,99.0,59.0,25.0,,,334.0,11/01/2022,05/01/2023
