State/Country,Location,Season Begin,Season End,Lodging,Local Meal Rate,Proportional Meal Rate,Local Incidental,Footnote Number,Footnote Rate,Maximum Per Diem,Effective Date,Publication Date
ALASKA,ADAK,01/01/2020,12/31/2020,161.0,94.0,55.0,23.0,,,278.0,06/01/2019,06/01/2020
ALASKA,ANCHORAGE [INCL NAV RES],05/01/2020,08/31/2020,229.0,100.0,58.0,25.0,,,354.0,06/01/2019,06/01/2020
ALASKA,ANCHORAGE [INCL NAV RES],09/01/2020,04/30/2020,199.0,100.0,58.0,25.0,,,324.0,06/01/2019,06/01/2020
ALASKA,BARROW,05/15/2020,09/14/2020,320.0,103.0,59.0,26.0,,,449.0,06/01/2019,06/01/2020
ALASKA,BARROW,09/15/2020,05/14/2020,265.0,103.0,59.0,26.0,,,394.0,06/01/2019,06/01/2020
ALASKA,BARTER ISLAND LRRS,01/01/2020,12/31/2020,161.0,90.0,53.0,23.0,,,274.0,06/01/2019,06/01/2020
ALASKA,BETHEL,01/01/2020,12/31/2020,219.0,81.0,48.0,20.0,,,320.0,06/01/2019,06/01/2020
ALASKA,BETTLES,01/01/2020,12/31/2020,161.0,90.0,53.0,23.0,3.0,,274.0,06/01/2019,06/01/2020
ALASKA,CAPE LISBURNE LRRS,01/01/2020,12/31/2020,161.0,90.0,53.0,23.0,,,274.0,06/01/2019,06/01/2020
ALASKA,CAPE NEWENHAM LRRS,01/01/2020,12/31/2020,161.0,90.0,53.0,23.0,,,274.0,06/01/2019,06/01/2020
ALASKA,CAPE ROMANZOF LRRS,01/01/2020,12/31/2020,161.0,90.0,53.0,23.0,,,274.0,06/01/2019,06/01/2020
ALASKA,CLEAR AB,01/01/2020,12/31/2020,161.0,90.0,53.0,23.0,,,274.0,06/01/2019,06/01/2020
ALASKA,COLD BAY LRRS,01/01/2020,12/31/2020,161.0,90.0,53.0,23.0,,,274.0,06/01/2019,06/01/2020
ALASKA,COLD BAY,01/01/2020,12/31/2020,161.0,90.0,53.0,23.0,,,274.0,06/01/2019,06/01/2020
ALASKA,COLDFOOT,01/01/2020,12/31/2020,161.0,74.0,45.0,19.0,,,254.0,06/01/2019,06/01/2020
ALASKA,COPPER CENTER,01/01/2020,12/31/2020,161.0,92.0,54.0,23.0,,,276.0,06/01/2019,06/01/2020
ALASKA,CORDOVA,01/01/2020,12/31/2020,140.0,85.0,50.0,21.0,,,246.0,06/01/2019,06/01/2020
ALASKA,CRAIG,05/01/2020,09/30/2020,139.0,75.0,45.0,19.0,,,233.0,06/01/2019,06/01/2020
ALASKA,CRAIG,10/01/2020,04/30/2020,109.0,75.0,45.0,19.0,,,203.0,06/01/2019,06/01/2020
ALASKA,DEADHORSE,01/01/2020,12/31/2020,120.0,90.0,53.0,23.0,3.0,,233.0,06/01/2019,06/01/2020
ALASKA,DELTA JUNCTION,01/01/2020,12/31/2020,161.0,81.0,48.0,20.0,,,262.0,06/01/2019,06/01/2020
ALASKA,DENALI NATIONAL PARK,05/17/2020,09/17/2020,189.0,79.0,47.0,19.0,,,287.0,06/01/2019,06/01/2020
ALASKA,DENALI NATIONAL PARK,09/18/2020,05/16/2020,139.0,79.0,47.0,19.0,,,237.0,06/01/2019,06/01/2020
ALASKA,DILLINGHAM,05/01/2020,09/30/2020,275.0,90.0,53.0,23.0,,,388.0,06/01/2019,06/01/2020
ALASKA,DILLINGHAM,10/01/2020,04/30/2020,230.0,90.0,53.0,23.0,,,343.0,06/01/2019,06/01/2020
ALASKA,DUTCH HARBOR-UNALASKA,01/01/2020,12/31/2020,161.0,103.0,59.0,26.0,,,290.0,06/01/2019,06/01/2020
ALASKA,EARECKSON AIR STATION,01/01/2020,12/31/2020,146.0,59.0,37.0,15.0,,,220.0,06/01/2019,06/01/2020
