State/Country,Location,Season Begin,Season End,Lodging,Local Meal Rate,Proportional Meal Rate,Local Incidental,Footnote Number,Footnote Rate,Maximum Per Diem,Effective Date,Publication Date
ALASKA,ADAK,05/01/2017,09/30/2017,192.0,41.0,28.0,10.0,,,243.0,03/01/2016,02/01/2017
ALASKA,ADAK,10/01/2017,04/30/2017,150.0,41.0,28.0,10.0,,,201.0,03/01/2016,02/01/2017
ALASKA,ANCHORAGE [INCL NAV RES],05/16/2017,09/30/2017,339.0,91.0,53.0,23.0,,,453.0,03/01/2016,02/01/2017
ALASKA,ANCHORAGE [INCL NAV RES],10/01/2017,05/15/2017,99.0,91.0,53.0,23.0,,,213.0,03/01/2016,02/01/2017
ALASKA,BARROW,01/01/2017,12/31/2017,205.0,77.0,46.0,19.0,,,301.0,03/01/2016,02/01/2017
ALASKA,BARTER ISLAND LRRS,01/01/2017,12/31/2017,120.0,61.0,38.0,15.0,,,196.0,03/01/2016,02/01/2017
ALASKA,BETHEL,01/01/2017,12/31/2017,179.0,97.0,56.0,24.0,,,300.0,03/01/2016,02/01/2017
ALASKA,BETTLES,01/01/2017,12/31/2017,175.0,64.0,39.0,15.0,,,254.0,03/01/2015,02/01/2017
ALASKA,CAPE LISBURNE LRRS,01/01/2017,12/31/2017,120.0,61.0,38.0,15.0,,,196.0,03/01/2016,02/01/2017
ALASKA,CAPE NEWENHAM LRRS,01/01/2017,12/31/2017,120.0,61.0,38.0,15.0,,,196.0,03/01/2016,02/01/2017
ALASKA,CAPE ROMANZOF LRRS,01/01/2017,12/31/2017,120.0,61.0,38.0,15.0,,,196.0,03/01/2016,02/01/2017
ALASKA,CLEAR AB,01/01/2017,12/31/2017,120.0,61.0,38.0,15.0,,,196.0,03/01/2016,02/01/2017
ALASKA,COLD BAY LRRS,01/01/2017,12/31/2017,120.0,61.0,38.0,15.0,,,196.0,03/01/2016,02/01/2017
ALASKA,COLDFOOT,01/01/2017,12/31/2017,165.0,56.0,35.0,14.0,,,235.0,10/01/2006,02/01/2017
