State/Country,Location,Season Begin,Season End,Lodging,Local Meal Rate,Proportional Meal Rate,Local Incidental,Footnote Number,Footnote Rate,Maximum Per Diem,Effective Date,Publication Date
ALASKA,ADAK,01/01/2025,12/31/2025,230.0,97.0,58.0,24.0,,,351.0,02/01/2024,07/01/2025
ALASKA,ANCHORAGE,05/01/2025,08/31/2025,279.0,116.0,67.0,29.0,,,424.0,02/01/2024,07/01/2025
ALASKA,ANCHORAGE,09/01/2025,04/30/2025,229.0,116.0,67.0,29.0,,,374.0,02/01/2024,07/01/2025
ALASKA,BARROW,05/01/2025,08/31/2025,301.0,103.0,61.0,26.0,,,430.0,02/01/2024,07/01/2025
ALASKA,BARROW,09/01/2025,04/30/2025,266.0,103.0,61.0,26.0,,,395.0,02/01/2024,07/01/2025
ALASKA,BARTER ISLAND LRRS,01/01/2025,12/31/2025,230.0,97.0,58.0,24.0,,,351.0,02/01/2024,07/01/2025
ALASKA,BETHEL,01/01/2025,12/31/2025,230.0,81.0,50.0,20.0,,,331.0,02/01/2024,07/01/2025
ALASKA,BETTLES,01/01/2025,12/31/2025,230.0,97.0,58.0,24.0,3.0,,351.0,02/01/2024,07/01/2025
ALASKA,CAPE LISBURNE LRRS,01/01/2025,12/31/2025,230.0,97.0,58.0,24.0,,,351.0,02/01/2024,07/01/2025
ALASKA,CAPE NEWENHAM LRRS,01/01/2025,12/31/2025,230.0,97.0,58.0,24.0,,,351.0,02/01/2024,07/01/2025
ALASKA,CAPE ROMANZOF LRRS,01/01/2025,12/31/2025,230.0,97.0,58.0,24.0,,,351.0,02/01/2024,07/01/2025
ALASKA,CLEAR AB,01/01/2025,12/31/2025,230.0,97.0,58.0,24.0,,,351.0,02/01/2024,07/01/2025
ALASKA,COLD BAY LRRS,01/01/2025,12/31/2025,230.0,97.0,58.0,24.0,,,351.0,02/01/2024,07/01/2025
ALASKA,COLD BAY,01/01/2025,12/31/2025,230.0,97.0,58.0,24.0,,,351.0,02/01/2024,07/01/2025
ALASKA,COLDFOOT,01/01/2025,12/31/2025,249.0,74.0,46.0,19.0,,,342.0,02/01/2024,07/01/2025
ALASKA,COPPER CENTER,01/01/2025,12/31/2025,230.0,97.0,58.0,24.0,,,351.0,02/01/2024,07/01/2025
ALASKA,CORDOVA,01/01/2025,12/31/2025,230.0,85.0,52.0,21.0,,,336.0,02/01/2024,07/01/2025
ALASKA,CRAIG,05/01/2025,09/30/2025,274.0,75.0,47.0,19.0,,,368.0,02/01/2024,07/01/2025
ALASKA,CRAIG,10/01/2025,04/30/2025,179.0,75.0,47.0,19.0,,,273.0,02/01/2024,07/01/2025
ALASKA,DEADHORSE,01/01/2025,12/31/2025,230.0,97.0,58.0,24.0,3.0,,351.0,02/01/2024,07/01/2025
ALASKA,DELTA JUNCTION,01/01/2025,12/31/2025,230.0,85.0,52.0,21.0,,,336.0,02/01/2024,07/01/2025
ALASKA,DENALI NATIONAL PARK,05/01/2025,09/30/2025,274.0,95.0,57.0,23.0,,,392.0,02/01/2024,07/01/2025
ALASKA,DENALI NATIONAL PARK,10/01/2025,04/30/2025,179.0,95.0,57.0,23.0,,,297.0,02/01/2024,07/01/2025
