State/Country,Location,Season Begin,Season End,Lodging,Local Meal Rate,Proportional Meal Rate,Local Incidental,Footnote Number,Footnote Rate,Maximum Per Diem,Effective Date,Publication Date
ALASKA,ADAK,05/01/2016,09/30/2016,192.0,41.0,28.0,10.0,,,243.0,03/01/2016,03/01/2016
ALASKA,ADAK,10/01/2016,04/30/2016,150.0,41.0,28.0,10.0,,,201.0,03/01/2016,03/01/2016
ALASKA,ANCHORAGE [INCL NAV RES],05/16/2016,09/30/2016,339.0,91.0,53.0,23.0,,,453.0,03/01/2016,03/01/2016
ALASKA,ANCHORAGE [INCL NAV RES],10/01/2016,05/15/2016,99.0,91.0,53.0,23.0,,,213.0,03/01/2016,03/01/2016
ALASKA,BARROW,01/01/2016,12/31/2016,205.0,77.0,46.0,19.0,,,301.0,03/01/2016,03/01/2016
ALASKA,BARTER ISLAND LRRS,01/01/2016,12/31/2016,120.0,61.0,38.0,15.0,,,196.0,03/01/2016,03/01/2016
ALASKA,BETHEL,01/01/2016,12/31/2016,179.0,97.0,56.0,24.0,,,300.0,03/01/2016,03/01/2016
ALASKA,BETTLES,01/01/2016,12/31/2016,175.0,64.0,39.0,15.0,,,254.0,03/01/2015,03/01/2016
ALASKA,CAPE LISBURNE LRRS,01/01/2016,12/31/2016,120.0,61.0,38.0,15.0,,,196.0,03/01/2016,03/01/2016
ALASKA,CAPE NEWENHAM LRRS,01/01/2016,12/31/2016,120.0,61.0,38.0,15.0,,,196.0,03/01/2016,03/01/2016
ALASKA,CAPE ROMANZOF LRRS,01/01/2016,12/31/2016,120.0,61.0,38.0,15.0,,,196.0,03/01/2016,03/01/2016
ALASKA,CLEAR AB,01/01/2016,12/31/2016,120.0,61.0,38.0,15.0,,,196.0,03/01/2016,03/01/2016
ALASKA,COLD BAY LRRS,01/01/2016,12/31/2016,120.0,61.0,38.0,15.0,,,196.0,03/01/2016,03/01/2016
ALASKA,COLDFOOT,01/01/2016,12/31/2016,165.0,56.0,35.0,14.0,,,235.0,10/01/2006,03/01/2016
ALASKA,COPPER CENTER,05/15/2016,09/15/2016,150.0,69.0,42.0,17.0,,,236.0,03/01/2016,03/01/2016
ALASKA,COPPER CENTER,09/16/2016,05/14/2016,115.0,69.0,42.0,17.0,,,201.0,03/01/2016,03/01/2016
ALASKA,CORDOVA,01/01/2016,12/31/2016,140.0,75.0,45.0,19.0,,,234.0,03/01/2016,03/01/2016
ALASKA,CRAIG,04/01/2016,09/30/2016,151.0,59.0,37.0,15.0,,,225.0,03/01/2016,03/01/2016
ALASKA,CRAIG,10/01/2016,03/31/2016,88.0,59.0,37.0,15.0,,,162.0,03/01/2016,03/01/2016
ALASKA,DEADHORSE,01/01/2016,12/31/2016,170.0,41.0,28.0,10.0,,,221.0,03/01/2016,03/01/2016
