State/Country,Location,Season Begin,Season End,Lodging,Local Meal Rate,Proportional Meal Rate,Local Incidental,Footnote Number,Footnote Rate,Maximum Per Diem,Effective Date,Publication Date
ALASKA,ADAK,05/01/2018,09/01/2018,270.0,46.0,30.0,11.0,,,327.0,09/01/2018,12/01/2018
ALASKA,ADAK,09/02/2018,04/30/2018,192.0,46.0,30.0,11.0,,,249.0,09/01/2018,12/01/2018
ALASKA,ANCHORAGE [INCL NAV RES],05/01/2018,08/31/2018,229.0,104.0,59.0,26.0,,,359.0,09/01/2018,12/01/2018
ALASKA,ANCHORAGE [INCL NAV RES],09/01/2018,04/30/2018,199.0,104.0,59.0,26.0,,,329.0,09/01/2018,12/01/2018
ALASKA,BARROW,04/01/2018,08/31/2018,320.0,108.0,61.0,27.0,,,455.0,09/01/2018,12/01/2018
ALASKA,BARROW,09/01/2018,03/31/2018,252.0,108.0,61.0,27.0,,,387.0,09/01/2018,12/01/2018
ALASKA,BARTER ISLAND LRRS,01/01/2018,12/31/2018,120.0,78.0,46.0,19.0,,,217.0,09/01/2018,12/01/2018
ALASKA,BETHEL,01/01/2018,12/31/2018,219.0,86.0,50.0,22.0,,,327.0,03/01/2017,12/01/2018
ALASKA,BETTLES,01/01/2018,12/31/2018,175.0,64.0,39.0,15.0,,,254.0,09/01/2018,12/01/2018
ALASKA,CAPE LISBURNE LRRS,01/01/2018,12/31/2018,120.0,78.0,46.0,19.0,,,217.0,09/01/2018,12/01/2018
ALASKA,CAPE NEWENHAM LRRS,01/01/2018,12/31/2018,120.0,78.0,46.0,19.0,,,217.0,09/01/2018,12/01/2018
ALASKA,CAPE ROMANZOF LRRS,01/01/2018,12/31/2018,120.0,78.0,46.0,19.0,,,217.0,09/01/2018,12/01/2018
ALASKA,CLEAR AB,01/01/2018,12/31/2018,120.0,78.0,46.0,19.0,,,217.0,09/01/2018,12/01/2018
ALASKA,COLD BAY LRRS,01/01/2018,12/31/2018,120.0,78.0,46.0,19.0,,,217.0,09/01/2018,12/01/2018
ALASKA,COLD BAY,01/01/2018,12/31/2018,110.0,71.0,43.0,18.0,,,199.0,09/01/2018,12/01/2018
ALASKA,COLDFOOT,01/01/2018,12/31/2018,165.0,56.0,35.0,14.0,,,235.0,10/01/2006,12/01/2018
ALASKA,COPPER CENTER,05/15/2018,09/15/2018,169.0,67.0,41.0,17.0,,,253.0,03/01/2017,12/01/2018
ALASKA,COPPER CENTER,09/16/2018,05/14/2018,97.0,67.0,41.0,17.0,,,181.0,03/01/2017,12/01/2018
ALASKA,CORDOVA,01/01/2018,12/31/2018,140.0,94.0,54.0,23.0,,,257.0,09/01/2018,12/01/2018
ALASKA,CRAIG,04/01/2018,09/30/2018,254.0,63.0,39.0,15.0,,,332.0,03/01/2017,12/01/2018
ALASKA,CRAIG,10/01/2018,03/31/2018,90.0,63.0,39.0,15.0,,,168.0,03/01/2017,12/01/2018
ALASKA,DEADHORSE,01/01/2018,12/31/2018,170.0,44.0,29.0,11.0,,,225.0,09/01/2018,12/01/2018
ALASKA,DELTA JUNCTION,05/01/2018,09/30/2018,169.0,73.0,44.0,18.0,,,260.0,09/01/2018,12/01/2018
ALASKA,DELTA JUNCTION,10/01/2018,04/30/2018,139.0,73.0,44.0,18.0,,,230.0,09/01/2018,12/01/2018
ALASKA,DENALI NATIONAL PARK,06/01/2018,08/31/2018,185.0,69.0,42.0,17.0,,,271.0,03/01/2017,12/01/2018
ALASKA,DENALI NATIONAL PARK,09/01/2018,05/31/2018,139.0,69.0,42.0,17.0,,,225.0,03/01/2017,12/01/2018
ALASKA,DILLINGHAM,04/01/2018,09/30/2018,285.0,102.0,58.0,26.0,,,413.0,09/01/2018,12/01/2018
