State/Country,Location,Season Begin,Season End,Lodging,Local Meal Rate,Proportional Meal Rate,Local Incidental,Footnote Number,Footnote Rate,Maximum Per Diem,Effective Date,Publication Date
ALASKA,ADAK,05/01/2017,09/30/2017,192.0,48.0,31.0,12.0,,,252.0,03/01/2017,11/01/2017
ALASKA,ADAK,10/01/2017,04/30/2017,150.0,48.0,31.0,12.0,,,210.0,03/01/2017,11/01/2017
ALASKA,ANCHORAGE [INCL NAV RES],05/16/2017,09/30/2017,229.0,75.0,45.0,19.0,,,323.0,03/01/2017,11/01/2017
ALASKA,ANCHORAGE [INCL NAV RES],10/01/2017,05/15/2017,199.0,75.0,45.0,19.0,,,293.0,03/01/2017,11/01/2017
ALASKA,BARROW,05/01/2017,09/30/2017,238.0,71.0,43.0,18.0,,,327.0,03/01/2017,11/01/2017
ALASKA,BARROW,10/01/2017,04/30/2017,205.0,71.0,43.0,18.0,,,294.0,03/01/2017,11/01/2017
ALASKA,BARTER ISLAND LRRS,01/01/2017,12/31/2017,120.0,70.0,42.0,18.0,,,208.0,03/01/2017,11/01/2017
ALASKA,BETHEL,01/01/2017,12/31/2017,219.0,86.0,50.0,22.0,,,327.0,03/01/2017,11/01/2017
ALASKA,BETTLES,01/01/2017,12/31/2017,175.0,56.0,35.0,14.0,,,245.0,03/01/2017,11/01/2017
ALASKA,CAPE LISBURNE LRRS,01/01/2017,12/31/2017,120.0,70.0,42.0,18.0,,,208.0,03/01/2017,11/01/2017
ALASKA,CAPE NEWENHAM LRRS,01/01/2017,12/31/2017,120.0,70.0,42.0,18.0,,,208.0,03/01/2017,11/01/2017
ALASKA,CAPE ROMANZOF LRRS,01/01/2017,12/31/2017,120.0,70.0,42.0,18.0,,,208.0,03/01/2017,11/01/2017
ALASKA,CLEAR AB,01/01/2017,12/31/2017,120.0,70.0,42.0,18.0,,,208.0,03/01/2017,11/01/2017
ALASKA,COLD BAY LRRS,01/01/2017,12/31/2017,120.0,70.0,42.0,18.0,,,208.0,03/01/2017,11/01/2017
ALASKA,COLDFOOT,01/01/2017,12/31/2017,165.0,56.0,35.0,14.0,,,235.0,10/01/2006,11/01/2017
ALASKA,COPPER CENTER,05/15/2017,09/15/2017,169.0,67.0,41.0,17.0,,,253.0,03/01/2017,11/01/2017
ALASKA,COPPER CENTER,09/16/2017,05/14/2017,97.0,67.0,41.0,17.0,,,181.0,03/01/2017,11/01/2017
ALASKA,CORDOVA,01/01/2017,12/31/2017,140.0,89.0,52.0,22.0,,,251.0,03/01/2017,11/01/2017
ALASKA,CRAIG,04/01/2017,09/30/2017,254.0,63.0,39.0,15.0,,,332.0,03/01/2017,11/01/2017
ALASKA,CRAIG,10/01/2017,03/31/2017,90.0,63.0,39.0,15.0,,,168.0,03/01/2017,11/01/2017
ALASKA,DEADHORSE,01/01/2017,12/31/2017,170.0,41.0,28.0,10.0,,,221.0,03/01/2016,11/01/2017
ALASKA,DELTA JUNCTION,05/01/2017,09/30/2017,169.0,63.0,39.0,15.0,,,247.0,03/01/2017,11/01/2017
ALASKA,DELTA JUNCTION,10/01/2017,04/30/2017,139.0,63.0,39.0,15.0,,,217.0,03/01/2017,11/01/2017
