State/Country,Location,Season Begin,Season End,Lodging,Local Meal Rate,Proportional Meal Rate,Local Incidental,Footnote Number,Footnote Rate,Maximum Per Diem,Effective Date,Publication Date
ALASKA,ADAK,01/01/2019,12/31/2019,161.0,94.0,54.0,23.0,,,278.0,06/01/2019,10/01/2019
ALASKA,ANCHORAGE [INCL NAV RES],05/01/2019,08/31/2019,229.0,100.0,57.0,25.0,,,354.0,06/01/2019,10/01/2019
ALASKA,ANCHORAGE [INCL NAV RES],09/01/2019,04/30/2019,199.0,100.0,57.0,25.0,,,324.0,06/01/2019,10/01/2019
ALASKA,BARROW,05/15/2019,09/14/2019,320.0,103.0,59.0,26.0,,,449.0,06/01/2019,10/01/2019
ALASKA,BARROW,09/15/2019,05/14/2019,265.0,103.0,59.0,26.0,,,394.0,06/01/2019,10/01/2019
ALASKA,BARTER ISLAND LRRS,01/01/2019,12/31/2019,161.0,90.0,52.0,23.0,,,274.0,06/01/2019,10/01/2019
ALASKA,BETHEL,01/01/2019,12/31/2019,219.0,81.0,48.0,20.0,,,320.0,06/01/2019,10/01/2019
ALASKA,BETTLES,01/01/2019,12/31/2019,161.0,90.0,52.0,23.0,3.0,,274.0,06/01/2019,10/01/2019
ALASKA,CAPE LISBURNE LRRS,01/01/2019,12/31/2019,161.0,90.0,52.0,23.0,,,274.0,06/01/2019,10/01/2019
ALASKA,CAPE NEWENHAM LRRS,01/01/2019,12/31/2019,161.0,90.0,52.0,23.0,,,274.0,06/01/2019,10/01/2019
ALASKA,CAPE ROMANZOF LRRS,01/01/2019,12/31/2019,161.0,90.0,52.0,23.0,,,274.0,06/01/2019,10/01/2019
ALASKA,CLEAR AB,01/01/2019,12/31/2019,161.0,90.0,52.0,23.0,,,274.0,06/01/2019,10/01/2019
ALASKA,COLD BAY LRRS,01/01/2019,12/31/2019,161.0,90.0,52.0,23.0,,,274.0,06/01/2019,10/01/2019
ALASKA,COLD BAY,01/01/2019,12/31/2019,161.0,90.0,52.0,23.0,,,274.0,06/01/2019,10/01/2019
ALASKA,COLDFOOT,01/01/2019,12/31/2019,161.0,74.0,44.0,19.0,,,254.0,06/01/2019,10/01/2019
ALASKA,COPPER CENTER,01/01/2019,12/31/2019,161.0,92.0,53.0,23.0,,,276.0,06/01/2019,10/01/2019
