State/Country,Location,Season Begin,Season End,Lodging,Local Meal Rate,Proportional Meal Rate,Local Incidental,Footnote Number,Footnote Rate,Maximum Per Diem,Effective Date,Publication Date
ALASKA,ADAK,01/01/2026,12/31/2026,239.0,114.0,66.0,29.0,,,382.0,01/01/2026,04/01/2026
ALASKA,ANCHORAGE,04/01/2026,09/30/2026,329.0,118.0,68.0,30.0,,,477.0,01/01/2026,04/01/2026
ALASKA,ANCHORAGE,10/01/2026,03/31/2026,239.0,118.0,68.0,30.0,,,387.0,01/01/2026,04/01/2026
ALASKA,BARROW,05/01/2026,08/31/2026,301.0,114.0,66.0,29.0,,,444.0,01/01/2026,04/01/2026
ALASKA,BARROW,09/01/2026,04/30/2026,266.0,114.0,66.0,29.0,,,409.0,01/01/2026,04/01/2026
ALASKA,BARTER ISLAND LRRS,01/01/2026,12/31/2026,239.0,114.0,66.0,29.0,,,382.0,01/01/2026,04/01/2026
ALASKA,BETHEL,01/01/2026,12/31/2026,239.0,114.0,66.0,29.0,,,382.0,01/01/2026,04/01/2026
ALASKA,BETTLES,01/01/2026,12/31/2026,239.0,114.0,66.0,29.0,3.0,,382.0,01/01/2026,04/01/2026
ALASKA,CAPE LISBURNE LRRS,01/01/2026,12/31/2026,239.0,114.0,66.0,29.0,,,382.0,01/01/2026,04/01/2026
ALASKA,CAPE NEWENHAM LRRS,01/01/2026,12/31/2026,239.0,114.0,66.0,29.0,,,382.0,01/01/2026,04/01/2026
ALASKA,CAPE ROMANZOF LRRS,01/01/2026,12/31/2026,239.0,114.0,66.0,29.0,,,382.0,01/01/2026,04/01/2026
ALASKA,CLEAR AB,01/01/2026,12/31/2026,239.0,114.0,66.0,29.0,,,382.0,01/01/2026,04/01/2026
ALASKA,COLD BAY LRRS,01/01/2026,12/31/2026,239.0,114.0,66.0,29.0,,,382.0,01/01/2026,04/01/2026
ALASKA,COLD BAY,01/01/2026,12/31/2026,239.0,114.0,66.0,29.0,,,382.0,01/01/2026,04/01/2026
ALASKA,COLDFOOT,01/01/2026,12/31/2026,249.0,114.0,66.0,29.0,,,392.0,01/01/2026,04/01/2026
ALASKA,COPPER CENTER,01/01/2026,12/31/2026,239.0,114.0,66.0,29.0,,,382.0,01/01/2026,04/01/2026
ALASKA,CORDOVA,01/01/2026,12/31/2026,239.0,114.0,66.0,29.0,,,382.0,01/01/2026,04/01/2026
ALASKA,CRAIG,05/01/2026,09/30/2026,275.0,114.0,66.0,29.0,,,418.0,01/01/2026,04/01/2026
ALASKA,CRAIG,10/01/2026,04/30/2026,199.0,114.0,66.0,29.0,,,342.0,01/01/2026,04/01/2026
ALASKA,DEADHORSE,01/01/2026,12/31/2026,239.0,114.0,66.0,29.0,3.0,,382.0,01/01/2026,04/01/2026
ALASKA,DELTA JUNCTION,01/01/2026,12/31/2026,239.0,114.0,66.0,29.0,,,382.0,01/01/2026,04/01/2026
ALASKA,DENALI NATIONAL PARK,05/01/2026,09/30/2026,275.0,114.0,66.0,29.0,,,418.0,01/01/2026,04/01/2026
